wordType,category,subcategory,set,english,french,article,imageUrl,audioUrl
Nouns,Food,Fruits,1,Apple,Pomme,une,https://static.wikia.nocookie.net/fruits-information/images/2/2b/Apple.jpg/revision/latest?cb=20180802112257,https://example.com/audio/pomme.mp3
Nouns,Food,Fruits,1,Banana,Banane,une,https://example.com/images/banana.png,https://example.com/audio/banane.mp3
Nouns,Food,Fruits,1,Cherry,Cerise,une,https://example.com/images/cherry.png,https://example.com/audio/cerise.mp3
Nouns,Food,Fruits,1,Grape,Raisin,un,https://example.com/images/grape.png,https://example.com/audio/raisin.mp3
Nouns,Food,Fruits,1,Orange,Orange,une,https://example.com/images/orange.png,https://example.com/audio/orange.mp3
Nouns,Food,Fruits,1,Strawberry,Fraise,une,https://example.com/images/strawberry.png,https://example.com/audio/fraise.mp3
Nouns,Food,Fruits,1,Lemon,Citron,un,https://example.com/images/lemon.png,https://example.com/audio/citron.mp3
Nouns,Food,Fruits,1,Peach,Pêche,une,https://example.com/images/peach.png,https://example.com/audio/peche.mp3
Nouns,Food,Fruits,1,Pear,Poire,une,https://example.com/images/pear.png,https://example.com/audio/poire.mp3
Nouns,Food,Fruits,1,Watermelon,Pastèque,une,https://example.com/images/watermelon.png,https://example.com/audio/pasteque.mp3
Nouns,Food,Fruits,2,Blueberry,Myrtille,une,https://example.com/images/blueberry.png,https://example.com/audio/myrtille.mp3
Nouns,Food,Fruits,2,Blackberry,Mûre,une,https://example.com/images/blackberry.png,https://example.com/audio/mure.mp3
Nouns,Food,Fruits,2,Raspberry,Framboise,une,https://example.com/images/raspberry.png,https://example.com/audio/framboise.mp3
Nouns,Food,Fruits,2,Pineapple,Ananas,un,https://upload.wikimedia.org/wikipedia/commons/5/51/Pineapple_%27Victoria%27_with_slice.jpg,https://example.com/audio/ananas.mp3
Nouns,Food,Fruits,2,Coconut,Noix de coco,une,https://example.com/images/coconut.png,https://example.com/audio/noixdecoco.mp3
Nouns,Food,Fruits,2,Kiwi,Kiwi,un,https://example.com/images/kiwi.png,https://example.com/audio/kiwi.mp3
Nouns,Food,Fruits,2,Mango,Mangue,une,https://example.com/images/mango.png,https://example.com/audio/mangue.mp3
Nouns,Food,Fruits,2,Grapefruit,Pamplemousse,un,https://example.com/images/grapefruit.png,https://example.com/audio/pamplemousse.mp3
Nouns,Food,Fruits,2,Fig,Fig,une,https://example.com/images/fig.png,https://example.com/audio/fig.mp3
Nouns,Food,Fruits,2,Plum,Prune,une,https://example.com/images/plum.png,https://example.com/audio/prune.mp3
Nouns,Food,Fruits,3,Dragonfruit,Pitaya,un,https://example.com/images/dragonfruit.png,https://example.com/audio/pitaya.mp3
Nouns,Food,Fruits,3,Passion Fruit,Fruit de la passion,un,https://example.com/images/passionfruit.png,https://example.com/audio/fruitdelapassion.mp3
Nouns,Food,Fruits,3,Guava,Goyave,une,https://example.com/images/guava.png,https://example.com/audio/goyave.mp3
Nouns,Food,Fruits,3,Lychee,Litchi,un,https://example.com/images/lychee.png,https://example.com/audio/litchi.mp3
Nouns,Food,Fruits,3,Apricot,Abricot,un,https://example.com/images/apricot.png,https://example.com/audio/abricot.mp3
Nouns,Food,Fruits,3,Pomegranate,Grenade,une,https://example.com/images/pomegranate.png,https://example.com/audio/grenade.mp3
Nouns,Food,Fruits,3,Starfruit,Carambole,une,https://example.com/images/starfruit.png,https://example.com/audio/carambole.mp3
Nouns,Food,Fruits,3,Tamarind,Tamarin,un,https://example.com/images/tamarind.png,https://example.com/audio/tamarin.mp3
Nouns,Food,Fruits,3,Cantaloupe,Cantaloup,un,https://example.com/images/cantaloupe.png,https://example.com/audio/cantaloup.mp3
Nouns,Food,Fruits,3,Cranberry,Canneberge,une,https://example.com/images/cranberry.png,https://example.com/audio/canneberge.mp3
Nouns,Food,General,1,meat,viande,la,,
Nouns,Food,General,1,ham,jambon,le,,
Nouns,Food,General,1,rice,riz,le,,
Nouns,Food,General,1,fish,poisson,le,,
Nouns,Food,General,1,baguette,baguette,la,,
Nouns,Food,General,1,jam,confiture,la,,
Nouns,Food,General,1,butter,beurre,le,,
Nouns,Food,General,1,milk,lait,le,,
Nouns,Food,General,1,soy,soja,le,,
Nouns,Food,General,1,cereal,céréales,les,,
Nouns,Food,General,2,sausages,saucisses,les,,
Nouns,Food,General,2,pasta,pâtes,les,,
Nouns,Food,General,2,cheese,fromage,le,,
Nouns,Food,General,2,egg,œuf,l',,
Nouns,Food,General,2,flour,farine,la,,
Nouns,Food,General,2,salt,sel,le,,
Nouns,Food,General,2,pepper,poivre,le,,
Nouns,Food,General,2,sugar,sucre,le,,
Nouns,Food,General,2,honey,miel,le,,
Nouns,Food,General,2,yogurt,yaourt,le,,
Nouns,Food,American Breakfast,1,egg,œuf,l',, 
