wordType,category,subcategory,set,english,french,article,imageUrl,audioUrl
Nouns,Food,American Breakfast,1,bacon,bacon,le,,
Nouns,Food,American Breakfast,1,toast,toast,le,,
Nouns,Food,American Breakfast,1,butter,beurre,le,,
Nouns,Food,American Breakfast,1,jam,confiture,la,,
Nouns,Food,American Breakfast,1,pancakes,crêpes,les,,
Nouns,Food,American Breakfast,1,maple syrup,sirop d'érable,le,,
Nouns,Food,American Breakfast,1,orange juice,jus d'orange,le,,
Nouns,Food,American Breakfast,1,coffee,café,le,,
Nouns,Food,American Breakfast,1,milk,lait,le,,
Nouns,Food,American Breakfast,2,sausage,saucisse,la,,
Nouns,Food,American Breakfast,2,hash browns,galettes de pommes de terre,les,,
Nouns,Food,American Breakfast,2,waffle,gaufre,la,,
Nouns,Food,American Breakfast,2,cereal,céréales,les,,
Nouns,Food,American Breakfast,2,yogurt,yaourt,le,,
Nouns,Food,American Breakfast,2,fruit salad,salade de fruits,la,,
Nouns,Food,American Breakfast,2,blueberries,myrtilles,les,,
Nouns,Food,American Breakfast,2,scrambled eggs,œufs brouillés,	les,,
Nouns,Food,American Breakfast,2,granola,granola,le,,
Nouns,Food,American Breakfast,2,bagel,bagel,le,,
Nouns,Food,American Breakfast,3,scrambled eggs,œufs brouillés,les,,
Nouns,Food,American Breakfast,3,omelette,omelette,l',,
Nouns,Food,American Breakfast,3,peanut butter,beurre de cacahuète,le,,
Nouns,Food,American Breakfast,3,breakfast sandwich,sandwich du petit-déjeuner,le,,
Nouns,Food,American Breakfast,3,muffin,muffin,le,,
Nouns,Food,American Breakfast,3,doughnut,beignet,le,,
Nouns,Food,American Breakfast,3,croissant,croissant,le,,
Nouns,Food,American Breakfast,3,hot chocolate,chocolat chaud,le,,
Nouns,Food,American Breakfast,3,apple juice,jus de pomme,le,,
Nouns,Food,American Breakfast,3,cream cheese,fromage à la crème,le,,
Nouns,Food,American Breakfast,4,freeench toast,pain perdu,le,,
Nouns,Food,American Breakfast,4,oatmeal,flocons d’avoine,les,,
Nouns,Food,American Breakfast,4,hard-boiled egg,œuf dur,l',,
Nouns,Food,American Breakfast,4,sunny-side-up egg,œuf au plat,l',,
Nouns,Food,American Breakfast,4,breakfast burrito,burrito du petit-déjeuner,le,,
Nouns,Food,American Breakfast,4,avocado,avocat,l',,
Nouns,Food,American Breakfast,4,avocado toast,toast à l'avocat,le,,
Nouns,Food,American Breakfast,4,cinnamon roll,roulé à la cannelle,le,,
Nouns,Food,American Breakfast,4,fruit,fruit,le,,
Nouns,Food,American Breakfast,4,grapefruit,pamplemousse,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
Nouns,Food,sex,5,tit,tit,le,,
